0,3.6
1,3.59
2,3.75
3,4.05
4,3.88
5,3.66
6,4.0
7,3.94
8,3.84
9,4.05
10,4.22
11,4.32
12,4.23
13,4.34
14,4.21
15,4.07
16,3.95
17,3.87
18,3.88
19,4.09
20,4.04
21,3.94
22,3.88
23,3.92
24,3.75
25,3.74
26,3.69
27,3.78
28,3.76
29,3.72
30,3.71
31,3.71
32,3.65
33,3.47
34,3.58
35,3.48
36,3.55
37,3.69
38,3.85
39,3.8
40,3.89
41,3.85
42,3.69
43,3.75
44,3.9
45,3.88
46,3.96
47,3.9
48,3.9
49,3.86
50,3.73
51,3.89
52,3.93
53,4.02
54,4.04
55,4.05
56,4.09
57,3.95
58,3.96
59,3.83
60,3.8
61,3.68
62,3.76
63,3.72
64,3.68
65,3.83
66,3.74
67,3.69
68,3.67
69,3.69
70,3.68
71,3.62
72,3.59
73,3.51
74,3.55
75,3.64
76,3.63
77,3.68
78,3.65
79,3.52
80,3.52
81,3.62
82,3.67
83,3.67
84,3.58
85,3.68
86,3.7
87,3.66
88,3.61
89,3.57
90,3.48
91,3.44
92,3.44
93,3.46
94,3.33
95,3.38
96,3.39
97,3.44
98,3.36
99,3.4
100,3.56
101,3.54
102,3.52
103,3.58
104,3.64
105,3.6
106,3.56
107,3.52
108,3.56
109,3.6
110,3.67
111,3.75
112,3.63
113,3.59
114,3.66
115,3.56
116,3.6
117,3.64
118,3.7
119,3.69
120,3.66
121,3.64
122,3.61
123,3.63
124,3.57
125,3.54
126,3.43
127,3.42
128,3.45
129,3.45
130,3.48
131,3.47
132,3.4
133,3.36
134,3.37
135,3.29
136,3.3
137,3.39
138,3.42
139,3.5
140,3.62
141,3.57
142,3.52
143,3.56
144,3.62
145,3.68
146,3.68
147,3.73
148,3.75
149,3.62
150,3.67
151,3.83
152,3.92
153,3.91
154,3.95
155,3.95
156,4.0
157,3.95
158,3.93
159,4.01
160,3.95
161,3.93
162,3.86
163,3.93
164,3.94
165,3.94
166,3.92
167,3.81
168,3.9
169,3.84
170,3.78
171,3.83
172,3.8
173,3.75
174,3.69
175,3.74
176,3.74
177,3.74
178,3.77
179,3.76
180,3.71
181,3.78
182,3.76
183,3.82
184,3.72
185,3.67
186,3.66
187,3.74
